BKG_NO,BKG_DT,BKG_SHPR_CST_NO,BKG_SHPR_CST_ENM,ACT_SHPR_CST_ENM,POR_PLC_CD,POL_PORT_CD,POD_PORT_CD,DLY_PLC_CD,FRT_PNC_CD,TEU
MY00375971,20200102,BMSM11,BDP (MALAYSIA) SDN BHD,KERRY INGREDIENTS (M) SDN BHD,PKW,PKW,PNC,PNC,P,1
MY00375970,20200102,BMSM11,BDP (MALAYSIA) SDN BHD,KERRY INGREDIENTS (M) SDN BHD,PKW,PKW,UKB,UKB,P,1
IN00236476,20200102,BN0100,BNX SHIPPING PVT LTD.,BNX SHIPPING PVT LTD,NSA,NSA,PNC,PNC,C,2
VN00519102,20200102,BNXV10,BNX SHIPPING CO., LTD (HCM BRANCH),BNXHCM,SGN,SGN,INC,INC,C,1
VN00519369,20200102,BNXV10,BNX SHIPPING CO., LTD (HCM BRANCH),BNXHCM,SGN,SGN,INC,INC,C,2
VN00519293,20200102,BSLV02,BRIGHT STAR LOGISTICS CO.,LTD,,SGN,SGN,INC,INC,P,2
VN00519051,20200102,BSLV02,BRIGHT STAR LOGISTICS CO.,LTD,,SGN,SGN,PUS,PUS,P,2
VN00519086,20200102,BVCV02,BACH VIET SHIPPING CO.,LTD HANOI,,HPH,HPH,SMN,SMN,P,2
SG00262118,20200102,CAPS14,CONFER AGENCY PTE LTD,CONFER,SIN,SIN,JKT,JKT,P,40
SG00262119,20200102,CAPS14,CONFER AGENCY PTE LTD,CONFER,SIN,SIN,JKT,JKT,P,40
SG00262127,20200102,CAPS14,CONFER AGENCY PTE LTD,CONFER,SIN,SIN,KHI,KHI,P,2
VN00519127,20200102,CCCV03,CARGO RUSH INTERNATIONAL CO., LTD O/B OF,,SGN,SGN,LCH,LCH,P,2
MY00375821,20200102,CCF000,COCON FOOD INDUSTRIES SDN BHD,COCON FOOD INDUSTRIES SDN BHD,PEN,PEN,VVO,VVO,C,2
MY00375822,20200102,CCF000,COCON FOOD INDUSTRIES SDN BHD,COCON FOOD INDUSTRIES SDN BHD,PEN,PEN,VVO,VVO,C,2
HK01069443,20200102,CCLH45,C&C GLOBAL LOGISTICS CO.,LTD,C&C GLOBAL LOGISTICS CO LTD,HKG,HKG,INC,INC,P,1
MY00375877,20200102,CCSM10,COSMO SCM SDN BHD,COSMO SCM SDB BHD,PEN,PEN,INC,INC,C,1
MY00375803,20200102,CECO01,CENTRAL CONTINENT SDN BHD,TECHNOLOGY PP,PEN,PEN,NBO,NBO,P,24
MY00375923,20200102,CECO01,CENTRAL CONTINENT SDN BHD,N.S UNIGLOVES SDN BHD,PKG,PKG,SHA,SHA,P,2
MY00375922,20200102,CECO01,CENTRAL CONTINENT SDN BHD,N.S UNIGLOVES SDN BHD,PKG,PKG,SHA,SHA,P,2
HK01069489,20200102,CEGZ01,COREANA EXPRESS LTD-GUANGZHOU BRANCH,COREANA,HUA,HUA,INC,INC,C,1
HK01069637,20200102,CEGZ01,COREANA EXPRESS LTD-GUANGZHOU BRANCH,COREANAGZ,XON,XON,INC,INC,C,1
HK01069591,20200102,CELH03,COREANA EXPRESS LTD,COREANA,HKG,HKG,INC,INC,P,1
HK01069393,20200102,CELH03,COREANA EXPRESS LTD,COREANA EXPRESS LTD.,HKG,HKG,PUS,PUS,P,2
IN00236468,20200102,CF8401,CRYSTAL SHIPPING CO. PVT. LTD.,CRYSTAL SHIPPING CO.PVT.LTD.,BDM,MUN,KHI,KHI,P,2
SG00262089,20200102,CGPS01,CWT GLOBELINK PTE LTD,CWT GLOBELINK PTE LTD ,SIN,SIN,PNC,PNC,C,1
SG00262087,20200102,CGPS01,CWT GLOBELINK PTE LTD,CWT GLOBELINK PTE LTD ,SIN,SIN,PNC,PNC,C,4
ID00589097,20200102,CGXI00,PT.CJ LOGISTICS INDONESIA ,PT. MIWON INDONESIA,SUB,SUB,SMZ,SMZ,P,1
IN00236452,20200102,CH0106,CHAKIAT AGENCIES ,RAVALI SPINNERS PVT LTD,VTZ,VTZ,PNC,PNC,P,2
MY00375919,20200102,CHRM01,CHIP HONG RUBBER SDN BHD,CHIP HONG RUBBER SDN BHD,PGU,PGU,PNC,PNC,C,1
HK01069584,20200102,CIGZ02,GUANGZHOU CENTER INTERNATIONAL LOGISTICS CO.,LTD,GUANGZHOU CENTER INT'L LOGISTI,HUA,HUA,PUS,PUS,P,1
MY00375797,20200102,CISB01,CARE INTL' FREIGHT S/B,GT,PKW,PKW,HKG,HKG,P,1
HK01069573,20200102,CJGZ04,GUANGZHOU CHEN JIE INTERNATIONAL LOGISTICS LTD,CHENJIE ,HUA,HUA,LCH,LCH,P,2
HK01069644,20200102,CJGZ04,GUANGZHOU CHEN JIE INTERNATIONAL LOGISTICS LTD,CHENJIE ,HUA,HUA,SGN,SGN,P,1
HK01069471,20200102,CJGZ04,GUANGZHOU CHEN JIE INTERNATIONAL LOGISTICS LTD,CHENJIE ,NNS,NNS,MAA,MAA,P,2
VN00519151,20200102,CJKV01,CJKOREA,,SGN,SGN,INC,INC,C,1
VN00519217,20200102,CJKV01,CJKOREA,,SGN,SGN,KIJ,KIJ,P,2
VN00519221,20200102,CJKV01,CJKOREA,,SGN,SGN,KIJ,KIJ,P,1
IN00236470,20200102,CK1701,CHINUBHAI KALIDASS & BROS,A B IMPEX,MUN,MUN,YOK,YOK,P,1
HK01069421,20200102,CLHH15,CEVA LOGISTICS HONG KONG LTD.,CEVA LOGISTICS HONGKONG LIMITE,HKG,HKG,LCH,LCH,P,2
HK01069423,20200102,CLHH15,CEVA LOGISTICS HONG KONG LTD.,CEVA LOGISTICS HONGKONG LIMITE,HKG,HKG,LCH,LCH,P,2
SG00262061,20200102,CLPL00,CEVA LOGISTICS SINGAPORE PTE LTD,CEVA LOGISTICS SINGAPORE PTE L,SIN,SIN,JKT,JKT,P,2
SG00262062,20200102,CLPL00,CEVA LOGISTICS SINGAPORE PTE LTD,CEVA LOGISTICS SINGAPORE PTE L,SIN,SIN,JKT,JKT,P,2
IN00236545,20200102,CM1702,CARGOTRANS MARITIME PVT. LTD  ,R K IMPEX ,MUN,MUN,KEL,KEL,P,1
SG00262121,20200102,CMSS08,CMS LOGISTICS GROUP (S) PTE LTD,CMS LOGISTICS GROUP SINGAPORE ,SIN,SIN,MNL,MNL,P,1
SG00262122,20200102,CMSS08,CMS LOGISTICS GROUP (S) PTE LTD,CMS LOGISTICS GROUP SINGAPORE ,SIN,SIN,MNL,MNL,P,1
SG00262126,20200102,CMSS08,CMS LOGISTICS GROUP (S) PTE LTD,CMS LOGISTICS GROUP SINGAPORE ,SIN,SIN,MNL,MNL,P,1
SG00262124,20200102,CMSS08,CMS LOGISTICS GROUP (S) PTE LTD,CMS LOGISTICS GROUP SINGAPORE ,SIN,SIN,MNL,MNL,P,1
TH00555365,20200102,CPI01T,C.P.INTERTRADE CO LTD,FITESACNC CO.,LTD.,LCH,LCH,JKT,JKT,P,4
HK01069387,20200102,CPLH13,CARGO PARTNER LOGISTICS LIMITED,CARGO-PARTNER LOGISTICS LTD,HKG,HKG,INC,INC,C,4
HK01069536,20200102,CPWH01,C P WORLD LIMITED,CP WORLD LTD,HKG,HKG,PKG,PKG,P,1
MY00375875,20200102,CPWM03,C P WORLD (PORT KLANG) SDN BHD,CP WORLD,PKG,PKG,PNC,PNC,C,1
HK01069511,20200102,CSFH02,CARGO SERVICES FAR EAST LTD,CARGO SERVICES,HKG,HKG,HPH,HPH,P,1
MY00375789,20200102,CSFM03,CEG SEA FREIGHT SERVICE PTE LTD,HOCK HIN,PKW,PKW,TAO,TAO,P,10
MY00375836,20200102,CSFM03,CEG SEA FREIGHT SERVICE PTE LTD,LEE RUBBER,PKW,PKW,TAO,TAO,P,2
MY00375786,20200102,CSFM03,CEG SEA FREIGHT SERVICE PTE LTD,HOCK HIN,PKW,PKW,TAO,TAO,P,10
HK01069623,20200102,CSGZ03,CYBER SHIPPING LIMITED,CYBER SHIPPING LTD,LIH,LIH,INC,INC,P,1
HK01069496,20200102,CSGZ03,CYBER SHIPPING LIMITED,CYBER SHIPPING LTD,NNS,NNS,PTK,PTK,P,5
HK01069502,20200102,CSGZ03,CYBER SHIPPING LIMITED,CYBER SHIPPING LTD,NNS,NNS,PUS,PUS,P,1
HK01069647,20200102,CTGZ00,CHINATRANS INTERNATIONAL LIMITED,GUANGZHOU OFFICE,CNTRANS,GGL,GGL,SOH,SOH,P,2
HK01069402,20200102,DACH03,DONGNAM LOGISTICS LTD,DONGNAM LOGISTICS LTD.,HKG,HKG,HPH,HPH,P,2
HK01069399,20200102,DACH03,DONGNAM LOGISTICS LTD,DONGNAM LOGISTICS LTD.,HKG,HKG,HPH,HPH,P,1
HK01069499,20200102,DACH03,DONGNAM LOGISTICS LTD,DONGNAM LOGISTICS LTD.,HKG,HKG,HPH,HPH,P,2
VN00519288,20200102,DAJV05,DAIJIN EXPRESS VIETNAM,JADEM,HPH,HPH,INC,INC,C,6
ID00589098,20200102,DAS099,PT.DAS CARGO,1,SUB,SUB,MNL,MNL,P,2
VN00519080,20200102,DDIV01,DAI DONG LOGISTICS CO., LTD,,SGN,SGN,INC,INC,P,1
VN00519049,20200102,DDIV01,DAI DONG LOGISTICS CO., LTD,,SGN,SGN,PUS,PUS,P,1
VN00519046,20200102,DDIV01,DAI DONG LOGISTICS CO., LTD,,SGN,SGN,PUS,PUS,P,2
VN00519156,20200102,DDIV01,DAI DONG LOGISTICS CO., LTD,,SGN,SGN,SHA,SHA,P,5
VN00519200,20200102,DDIV01,DAI DONG LOGISTICS CO., LTD,,SGN,SGN,UKB,UKB,P,6
VN00519081,20200102,DELV03,DELTA INTERNATIONAL CO., LTD ? HEAD OFFICE,,HPH,HPH,INC,INC,P,1
ID00589052,20200102,DEXI05,PT.DELTA EXPRESS,MASTER,SUB,SUB,KAN,KAN,P,4
TH00555229,20200102,DFT003,DEFENG SHIPPING & LOGISTICS CO.,LTD.,DEFENG,LCH,LCH,HKG,HKG,P,2
TH00555234,20200102,DFT003,DEFENG SHIPPING & LOGISTICS CO.,LTD.,DEFENG,LCH,LCH,HKG,HKG,P,2
TH00555233,20200102,DFT003,DEFENG SHIPPING & LOGISTICS CO.,LTD.,DEFENG,LCH,LCH,HKG,HKG,P,2
VN00519380,20200102,DGSV01,DGS LOGISTICS CO.,LTD,,SGN,SGN,INC,INC,P,4
HK01069487,20200102,DHGZ01,DHL GLOBAL FORWARDING(CHINA)CO.LTD GUANGZHOU BRANCH,DHL GLOBAL FORWARDING (CHINA) ,HUA,HUA,PUS,PUS,C,1
TH00555515,20200102,DHL02T,DHL GLOBAL FORWARDING (THAILAND) LTD.,INGREDION (THAILAND) CO.,LTD.,LCH,LCH,HIJ,HIJ,P,1
TH00555512,20200102,DHL02T,DHL GLOBAL FORWARDING (THAILAND) LTD.,INGREDION (THAILAND) CO.,LTD.,LCH,LCH,HIJ,HIJ,P,3
TH00555508,20200102,DHL02T,DHL GLOBAL FORWARDING (THAILAND) LTD.,INGREDION (THAILAND) CO.,LTD.,LCH,LCH,HIJ,HIJ,P,2
